datetime,timestamp,open,high,low,close,volume
2025-12-01 08:00:00,1764576000000,13.07,13.08,13.01,13.05,2940.08421771
2025-12-01 09:00:00,1764579600000,13.06,13.09,12.99,13.0,3992.59683147
2025-12-01 10:00:00,1764583200000,13.01,13.02,12.97,12.98,1975.57759919
2025-12-01 11:00:00,1764586800000,12.98,13.01,12.94,12.95,2953.52050515
2025-12-01 12:00:00,1764590400000,12.95,12.95,12.77,12.92,25042.2474639
2025-12-01 13:00:00,1764594000000,12.91,12.97,12.76,12.82,11741.15590796
2025-12-01 14:00:00,1764597600000,12.83,12.93,12.8,12.87,5223.73547401
2025-12-01 15:00:00,1764601200000,12.87,12.88,12.61,12.7,21640.1587799
2025-12-01 16:00:00,1764604800000,12.7,12.72,12.54,12.62,4632.14765584
2025-12-01 17:00:00,1764608400000,12.63,12.74,12.61,12.69,4078.35142403
2025-12-01 18:00:00,1764612000000,12.69,12.76,12.63,12.71,1144.09730952
2025-12-01 19:00:00,1764615600000,12.71,12.71,12.62,12.64,1831.91551831
2025-12-01 20:00:00,1764619200000,12.61,12.75,12.6,12.66,5054.04711068
2025-12-01 21:00:00,1764622800000,12.67,12.83,12.64,12.81,6379.82622547
2025-12-01 22:00:00,1764626400000,12.81,12.86,12.76,12.79,2736.28958722
2025-12-01 23:00:00,1764630000000,12.81,12.86,12.76,12.76,4239.9159021
2025-12-02 00:00:00,1764633600000,12.75,12.8,12.72,12.79,4735.29130625
2025-12-02 01:00:00,1764637200000,12.79,13.0,12.79,12.85,3223.99336153
2025-12-02 02:00:00,1764640800000,12.86,12.96,12.84,12.92,1915.16224825
2025-12-02 03:00:00,1764644400000,12.92,12.95,12.82,12.95,2358.77777692
2025-12-02 04:00:00,1764648000000,12.97,12.98,12.92,12.92,5801.87219329
2025-12-02 05:00:00,1764651600000,12.9,12.95,12.88,12.94,3131.31525901
2025-12-02 06:00:00,1764655200000,12.94,13.01,12.93,13.01,2584.11985763
2025-12-02 07:00:00,1764658800000,13.0,13.04,12.98,13.03,2223.08115545
2025-12-02 08:00:00,1764662400000,13.04,13.06,12.92,12.94,4882.20191227
2025-12-02 09:00:00,1764666000000,12.93,13.02,12.92,12.97,2149.39310054
2025-12-02 10:00:00,1764669600000,13.0,13.12,13.0,13.11,1655.59661959
2025-12-02 11:00:00,1764673200000,13.1,13.1,12.88,12.91,9717.33807933
2025-12-02 12:00:00,1764676800000,12.9,12.94,12.83,12.91,3917.34028402
2025-12-02 13:00:00,1764680400000,12.89,13.03,12.89,13.03,3596.66766351
2025-12-02 14:00:00,1764684000000,13.02,13.27,13.02,13.26,6174.24451229
2025-12-02 15:00:00,1764687600000,13.26,13.71,13.26,13.67,18010.58274771
2025-12-02 16:00:00,1764691200000,13.68,13.75,13.55,13.61,10887.19341294
2025-12-02 17:00:00,1764694800000,13.61,13.71,13.54,13.61,6218.49159837
2025-12-02 18:00:00,1764698400000,13.6,13.71,13.6,13.65,2711.45743296
2025-12-02 19:00:00,1764702000000,13.67,13.72,13.64,13.66,2688.53861306
2025-12-02 20:00:00,1764705600000,13.65,13.7,13.58,13.66,6289.25181805
2025-12-02 21:00:00,1764709200000,13.66,13.68,13.62,13.68,683.42382474
2025-12-02 22:00:00,1764712800000,13.67,13.75,13.66,13.72,4808.35331704
2025-12-02 23:00:00,1764716400000,13.73,13.73,13.63,13.64,2304.43585456
2025-12-03 00:00:00,1764720000000,13.64,13.68,13.59,13.66,4588.97418815
2025-12-03 01:00:00,1764723600000,13.66,13.75,13.65,13.71,1803.70259566
2025-12-03 02:00:00,1764727200000,13.71,13.85,13.71,13.79,2401.82157323
2025-12-03 03:00:00,1764730800000,13.79,13.84,13.78,13.82,5998.30757938
2025-12-03 04:00:00,1764734400000,13.83,13.93,13.81,13.92,1254.2631264
2025-12-03 05:00:00,1764738000000,13.92,14.06,13.92,14.06,6836.15646486
2025-12-03 06:00:00,1764741600000,14.06,14.34,14.06,14.12,5500.79604011
2025-12-03 07:00:00,1764745200000,14.12,14.19,14.1,14.14,1964.6730007
2025-12-03 08:00:00,1764748800000,14.14,14.18,14.06,14.12,1215.66232752
2025-12-03 09:00:00,1764752400000,14.15,14.15,14.03,14.09,1215.51631708
2025-12-03 10:00:00,1764756000000,14.09,14.13,14.05,14.07,3436.44321476
2025-12-03 11:00:00,1764759600000,14.06,14.08,14.02,14.08,3246.18834215
2025-12-03 12:00:00,1764763200000,14.09,14.12,14.06,14.12,2976.336965
2025-12-03 13:00:00,1764766800000,14.12,14.24,14.11,14.19,15199.31347994
2025-12-03 14:00:00,1764770400000,14.2,14.28,13.91,14.14,8471.38617833
2025-12-03 15:00:00,1764774000000,14.13,14.22,14.08,14.16,1511.5844364
2025-12-03 16:00:00,1764777600000,14.17,14.33,14.09,14.28,2099.72858238
2025-12-03 17:00:00,1764781200000,14.3,14.42,14.28,14.38,3031.15747383
2025-12-03 18:00:00,1764784800000,14.4,14.49,14.35,14.37,4150.71552959
2025-12-03 19:00:00,1764788400000,14.38,14.5,14.37,14.5,5703.27342217
2025-12-03 20:00:00,1764792000000,14.49,14.52,14.41,14.44,1500.85362353
2025-12-03 21:00:00,1764795600000,14.45,14.92,14.45,14.91,7364.31998917
2025-12-03 22:00:00,1764799200000,14.91,15.08,14.75,14.85,15427.7430519
2025-12-03 23:00:00,1764802800000,14.86,14.9,14.77,14.78,3968.3610429
2025-12-04 00:00:00,1764806400000,14.8,14.86,14.74,14.81,4110.84452631
2025-12-04 01:00:00,1764810000000,14.82,14.86,14.7,14.71,2784.11601741
2025-12-04 02:00:00,1764813600000,14.71,14.76,14.71,14.75,6369.71460716
2025-12-04 03:00:00,1764817200000,14.75,14.75,14.71,14.73,663.73919045
2025-12-04 04:00:00,1764820800000,14.73,14.75,14.71,14.73,1998.6963965
2025-12-04 05:00:00,1764824400000,14.73,14.75,14.7,14.74,3220.02606582
2025-12-04 06:00:00,1764828000000,14.75,14.75,14.73,14.73,5949.46588843
2025-12-04 07:00:00,1764831600000,14.72,14.75,14.69,14.72,2067.71937966
2025-12-04 08:00:00,1764835200000,14.73,14.76,14.71,14.72,8904.95191669
2025-12-04 09:00:00,1764838800000,14.73,14.77,14.72,14.74,3828.30104238
